Chan,Delta,Timestamp,RSSI
39, 00:00:00.001199,29-Sep-17 3:51:11.254655 PM,-35.000 (strong)
37, 00:00:02.484843,29-Sep-17 3:51:13.739498 PM,-81
38, 00:00:00.000698,29-Sep-17 3:51:13.740195 PM,-79
37, 00:00:01.244731,29-Sep-17 3:51:14.984927 PM,-82
38, 00:00:00.000697,29-Sep-17 3:51:14.985624 PM,-80
37, 00:00:01.254342,29-Sep-17 3:51:16.239966 PM,-82
38, 00:00:00.000697,29-Sep-17 3:51:16.240663 PM,-79
37, 00:00:01.251688,29-Sep-17 3:51:17.492351 PM,-81
38, 00:00:00.000697,29-Sep-17 3:51:17.493048 PM,-80
37, 00:00:01.256619,29-Sep-17 3:51:18.749667 PM,-81
38, 00:00:00.000697,29-Sep-17 3:51:18.750365 PM,-79
38, 00:00:01.214070,29-Sep-17 3:51:19.964434 PM,-80
37, 00:00:01.246272,29-Sep-17 3:51:21.210706 PM,-81
38, 00:00:00.000697,29-Sep-17 3:51:21.211403 PM,-80
37, 00:00:02.491927,29-Sep-17 3:51:23.703330 PM,-81
38, 00:00:00.000697,29-Sep-17 3:51:23.704027 PM,-79
39, 00:00:01.243628,29-Sep-17 3:51:24.947655 PM,-35.000 (strong)
38, 00:00:01.251829,29-Sep-17 3:51:26.199484 PM,-79
37, 00:00:03.732644,29-Sep-17 3:51:29.932128 PM,-83
38, 00:00:03.737992,29-Sep-17 3:51:33.670120 PM,-80
37, 00:00:01.248160,29-Sep-17 3:51:34.918279 PM,-82
38, 00:00:00.000697,29-Sep-17 3:51:34.918976 PM,-80
38, 00:00:01.254309,29-Sep-17 3:51:36.173285 PM,-80
38, 00:00:01.235177,29-Sep-17 3:51:37.408461 PM,-79
37, 00:00:04.973582,29-Sep-17 3:51:42.382043 PM,-81
38, 00:00:00.000697,29-Sep-17 3:51:42.382741 PM,-80
37, 00:00:01.256741,29-Sep-17 3:51:43.639481 PM,-80
38, 00:00:00.000697,29-Sep-17 3:51:43.640178 PM,-80
37, 00:00:01.223394,29-Sep-17 3:51:44.863573 PM,-81
38, 00:00:00.000697,29-Sep-17 3:51:44.864270 PM,-79
37, 00:00:04.982926,29-Sep-17 3:51:49.847196 PM,-82
38, 00:00:00.000697,29-Sep-17 3:51:49.847893 PM,-80
37, 00:00:01.271941,29-Sep-17 3:51:51.119835 PM,-81
38, 00:00:02.457655,29-Sep-17 3:51:53.577489 PM,-79
37, 00:00:01.251779,29-Sep-17 3:51:54.829268 PM,-81
38, 00:00:00.000697,29-Sep-17 3:51:54.829966 PM,-80
37, 00:00:01.234713,29-Sep-17 3:51:56.064678 PM,-81
38, 00:00:00.000697,29-Sep-17 3:51:56.065375 PM,-79
37, 00:00:01.257487,29-Sep-17 3:51:57.322862 PM,-81
37, 00:00:01.221614,29-Sep-17 3:51:58.544475 PM,-82
38, 00:00:00.000697,29-Sep-17 3:51:58.545172 PM,-79
38, 00:00:02.512894,29-Sep-17 3:52:01.058066 PM,-79
37, 00:00:01.254553,29-Sep-17 3:52:02.312619 PM,-81
38, 00:00:00.000697,29-Sep-17 3:52:02.313316 PM,-80
37, 00:00:01.206280,29-Sep-17 3:52:03.519596 PM,-82
38, 00:00:00.000697,29-Sep-17 3:52:03.520294 PM,-79
37, 00:00:01.283512,29-Sep-17 3:52:04.803805 PM,-81
38, 00:00:00.000697,29-Sep-17 3:52:04.804502 PM,-79
37, 00:00:01.200850,29-Sep-17 3:52:06.005353 PM,-84
38, 00:00:00.000697,29-Sep-17 3:52:06.006050 PM,-79
37, 00:00:01.257638,29-Sep-17 3:52:07.263687 PM,-81
37, 00:00:01.246787,29-Sep-17 3:52:08.510474 PM,-81
38, 00:00:00.000697,29-Sep-17 3:52:08.511171 PM,-80
37, 00:00:02.470927,29-Sep-17 3:52:10.982098 PM,-82
38, 00:00:00.000697,29-Sep-17 3:52:10.982795 PM,-80
39, 00:00:00.001200,29-Sep-17 3:52:10.983995 PM,-35.000 (strong)
39, 00:00:00.000326,29-Sep-17 3:52:10.984320 PM,-89
38, 00:00:03.734668,29-Sep-17 3:52:14.718988 PM,-79
38, 00:00:02.484557,29-Sep-17 3:52:17.203545 PM,-79
38, 00:00:01.255146,29-Sep-17 3:52:18.458691 PM,-79
37, 00:00:02.512060,29-Sep-17 3:52:20.970751 PM,-81
38, 00:00:00.000697,29-Sep-17 3:52:20.971448 PM,-80
38, 00:00:01.211331,29-Sep-17 3:52:22.182778 PM,-80
38, 00:00:02.498107,29-Sep-17 3:52:24.680886 PM,-78
37, 00:00:01.248632,29-Sep-17 3:52:25.929517 PM,-83
38, 00:00:00.000697,29-Sep-17 3:52:25.930214 PM,-79
38, 00:00:02.499607,29-Sep-17 3:52:28.429821 PM,-79
37, 00:00:08.722903,29-Sep-17 3:52:37.152724 PM,-82
38, 00:00:00.000697,29-Sep-17 3:52:37.153422 PM,-80
37, 00:00:03.781059,29-Sep-17 3:52:40.934480 PM,-81
38, 00:00:00.000697,29-Sep-17 3:52:40.935177 PM,-80
37, 00:00:01.215076,29-Sep-17 3:52:42.150254 PM,-81
38, 00:00:00.000697,29-Sep-17 3:52:42.150951 PM,-80
38, 00:00:02.483480,29-Sep-17 3:52:44.634431 PM,-80
37, 00:00:01.241881,29-Sep-17 3:52:45.876312 PM,-82
38, 00:00:00.000697,29-Sep-17 3:52:45.877010 PM,-79
37, 00:00:01.249981,29-Sep-17 3:52:47.126991 PM,-81
38, 00:00:00.000697,29-Sep-17 3:52:47.127688 PM,-81
37, 00:00:06.238881,29-Sep-17 3:52:53.366569 PM,-81
38, 00:00:00.000697,29-Sep-17 3:52:53.367266 PM,-79
37, 00:00:01.233362,29-Sep-17 3:52:54.600628 PM,-82
38, 00:00:00.000697,29-Sep-17 3:52:54.601325 PM,-81
37, 00:00:01.232582,29-Sep-17 3:52:55.833906 PM,-82
38, 00:00:00.000697,29-Sep-17 3:52:55.834603 PM,-80
39, 00:00:00.001199,29-Sep-17 3:52:55.835803 PM,-35.000 (strong)
37, 00:00:01.242982,29-Sep-17 3:52:57.078785 PM,-81
38, 00:00:00.000697,29-Sep-17 3:52:57.079482 PM,-79
38, 00:00:01.243779,29-Sep-17 3:52:58.323261 PM,-79
38, 00:00:01.265058,29-Sep-17 3:52:59.588318 PM,-80
37, 00:00:01.265561,29-Sep-17 3:53:00.853879 PM,-82
38, 00:00:00.000697,29-Sep-17 3:53:00.854576 PM,-79
37, 00:00:02.471827,29-Sep-17 3:53:03.326403 PM,-82
38, 00:00:00.000697,29-Sep-17 3:53:03.327100 PM,-79
37, 00:00:01.223726,29-Sep-17 3:53:04.550825 PM,-81
38, 00:00:00.000697,29-Sep-17 3:53:04.551522 PM,-80
39, 00:00:00.001199,29-Sep-17 3:53:04.552721 PM,-35.000 (strong)
37, 00:00:01.237532,29-Sep-17 3:53:05.790254 PM,-81
38, 00:00:00.000698,29-Sep-17 3:53:05.790951 PM,-80
39, 00:00:00.001199,29-Sep-17 3:53:05.792150 PM,-32.000 (strong)
37, 00:00:01.248033,29-Sep-17 3:53:07.040182 PM,-81
38, 00:00:00.000697,29-Sep-17 3:53:07.040880 PM,-81
37, 00:00:01.249832,29-Sep-17 3:53:08.290711 PM,-81
38, 00:00:00.000697,29-Sep-17 3:53:08.291408 PM,-79
38, 00:00:02.481680,29-Sep-17 3:53:10.773088 PM,-80
38, 00:00:01.253314,29-Sep-17 3:53:12.026402 PM,-79
37, 00:00:01.238830,29-Sep-17 3:53:13.265232 PM,-82
38, 00:00:00.000697,29-Sep-17 3:53:13.265930 PM,-80
37, 00:00:01.246693,29-Sep-17 3:53:14.512623 PM,-82
38, 00:00:00.000697,29-Sep-17 3:53:14.513320 PM,-81
37, 00:00:01.245482,29-Sep-17 3:53:15.758802 PM,-81
38, 00:00:00.000697,29-Sep-17 3:53:15.759499 PM,-80
37, 00:00:01.236459,29-Sep-17 3:53:16.995958 PM,-81
38, 00:00:00.000698,29-Sep-17 3:53:16.996655 PM,-80
37, 00:00:01.250349,29-Sep-17 3:53:18.247005 PM,-82
38, 00:00:00.000697,29-Sep-17 3:53:18.247702 PM,-80
39, 00:00:02.478208,29-Sep-17 3:53:20.725910 PM,-34.000 (strong)
38, 00:00:01.253269,29-Sep-17 3:53:21.979179 PM,-80
37, 00:00:01.388954,29-Sep-17 3:53:23.368132 PM,-81
38, 00:00:00.000697,29-Sep-17 3:53:23.368829 PM,-80
37, 00:00:01.244819,29-Sep-17 3:53:24.613648 PM,-81
38, 00:00:00.000697,29-Sep-17 3:53:24.614345 PM,-80
37, 00:00:01.241681,29-Sep-17 3:53:25.856026 PM,-82
38, 00:00:00.000697,29-Sep-17 3:53:25.856724 PM,-80
38, 00:00:02.496134,29-Sep-17 3:53:28.352858 PM,-80
37, 00:00:02.483983,29-Sep-17 3:53:30.836841 PM,-81
38, 00:00:00.000697,29-Sep-17 3:53:30.837538 PM,-80
37, 00:00:01.277646,29-Sep-17 3:53:32.115183 PM,-82
38, 00:00:00.000697,29-Sep-17 3:53:32.115881 PM,-80
37, 00:00:02.463192,29-Sep-17 3:53:34.579072 PM,-82
38, 00:00:00.000698,29-Sep-17 3:53:34.579770 PM,-80
38, 00:00:01.252132,29-Sep-17 3:53:35.831901 PM,-80
37, 00:00:01.236706,29-Sep-17 3:53:37.068608 PM,-83
38, 00:00:00.000697,29-Sep-17 3:53:37.069305 PM,-80
37, 00:00:01.258760,29-Sep-17 3:53:38.328064 PM,-82
38, 00:00:00.000697,29-Sep-17 3:53:38.328762 PM,-80
37, 00:00:02.511434,29-Sep-17 3:53:40.840195 PM,-81
37, 00:00:02.461230,29-Sep-17 3:53:43.301426 PM,-84
38, 00:00:00.000697,29-Sep-17 3:53:43.302123 PM,-79
38, 00:00:01.255086,29-Sep-17 3:53:44.557208 PM,-81
39, 00:00:00.001199,29-Sep-17 3:53:44.558408 PM,-35.000 (strong)
37, 00:00:01.239478,29-Sep-17 3:53:45.797886 PM,-81
38, 00:00:00.000697,29-Sep-17 3:53:45.798583 PM,-79
37, 00:00:02.484330,29-Sep-17 3:53:48.282913 PM,-81
38, 00:00:00.000697,29-Sep-17 3:53:48.283610 PM,-80
38, 00:00:01.253957,29-Sep-17 3:53:49.537567 PM,-79
37, 00:00:02.498838,29-Sep-17 3:53:52.036405 PM,-82
38, 00:00:00.000697,29-Sep-17 3:53:52.037102 PM,-79
39, 00:00:00.001199,29-Sep-17 3:53:52.038301 PM,-34.000 (strong)
37, 00:00:02.478365,29-Sep-17 3:53:54.516666 PM,-81
38, 00:00:00.000697,29-Sep-17 3:53:54.517363 PM,-79
38, 00:00:01.239076,29-Sep-17 3:53:55.756439 PM,-80
37, 00:00:01.247027,29-Sep-17 3:53:57.003466 PM,-81
38, 00:00:00.000697,29-Sep-17 3:53:57.004163 PM,-80
37, 00:00:01.251316,29-Sep-17 3:53:58.255479 PM,-83
38, 00:00:00.000697,29-Sep-17 3:53:58.256176 PM,-79
37, 00:00:01.271362,29-Sep-17 3:53:59.527538 PM,-82
38, 00:00:00.000697,29-Sep-17 3:53:59.528235 PM,-79
37, 00:00:01.224701,29-Sep-17 3:54:00.752936 PM,-81
38, 00:00:00.000697,29-Sep-17 3:54:00.753633 PM,-80
38, 00:00:01.231796,29-Sep-17 3:54:01.985429 PM,-80
38, 00:00:01.263505,29-Sep-17 3:54:03.248933 PM,-80
37, 00:00:01.232662,29-Sep-17 3:54:04.481596 PM,-81
38, 00:00:00.000697,29-Sep-17 3:54:04.482293 PM,-80
37, 00:00:01.248141,29-Sep-17 3:54:05.730433 PM,-80
38, 00:00:00.000697,29-Sep-17 3:54:05.731130 PM,-80
37, 00:00:01.239441,29-Sep-17 3:54:06.970571 PM,-81
38, 00:00:00.000697,29-Sep-17 3:54:06.971268 PM,-80
37, 00:00:01.252794,29-Sep-17 3:54:08.224062 PM,-81
37, 00:00:01.254227,29-Sep-17 3:54:09.478289 PM,-81
38, 00:00:00.000697,29-Sep-17 3:54:09.478986 PM,-81
37, 00:00:01.225338,29-Sep-17 3:54:10.704324 PM,-81
38, 00:00:00.000697,29-Sep-17 3:54:10.705021 PM,-80
39, 00:00:00.001199,29-Sep-17 3:54:10.706220 PM,-35.000 (strong)
37, 00:00:01.244362,29-Sep-17 3:54:11.950582 PM,-83
38, 00:00:00.000697,29-Sep-17 3:54:11.951279 PM,-78
37, 00:00:02.500516,29-Sep-17 3:54:14.451795 PM,-81
38, 00:00:00.000697,29-Sep-17 3:54:14.452493 PM,-79
38, 00:00:01.233975,29-Sep-17 3:54:15.686467 PM,-80
37, 00:00:02.494029,29-Sep-17 3:54:18.180496 PM,-81
38, 00:00:00.000697,29-Sep-17 3:54:18.181193 PM,-80
37, 00:00:01.264106,29-Sep-17 3:54:19.445299 PM,-82
38, 00:00:00.000697,29-Sep-17 3:54:19.445996 PM,-80
37, 00:00:01.234124,29-Sep-17 3:54:20.680119 PM,-82
38, 00:00:00.000697,29-Sep-17 3:54:20.680816 PM,-80
37, 00:00:01.240562,29-Sep-17 3:54:21.921378 PM,-80
38, 00:00:00.000697,29-Sep-17 3:54:21.922075 PM,-80
37, 00:00:02.483999,29-Sep-17 3:54:24.406074 PM,-81
38, 00:00:00.000697,29-Sep-17 3:54:24.406771 PM,-80
37, 00:00:01.244679,29-Sep-17 3:54:25.651451 PM,-81
38, 00:00:00.000697,29-Sep-17 3:54:25.652148 PM,-81
37, 00:00:01.242078,29-Sep-17 3:54:26.894225 PM,-81
38, 00:00:00.000697,29-Sep-17 3:54:26.894922 PM,-79
37, 00:00:05.011509,29-Sep-17 3:54:31.906432 PM,-81
38, 00:00:00.000697,29-Sep-17 3:54:31.907129 PM,-79
38, 00:00:01.228247,29-Sep-17 3:54:33.135376 PM,-80
38, 00:00:01.260856,29-Sep-17 3:54:34.396231 PM,-79
37, 00:00:01.232873,29-Sep-17 3:54:35.629104 PM,-81
38, 00:00:00.000697,29-Sep-17 3:54:35.629802 PM,-80
37, 00:00:01.266743,29-Sep-17 3:54:36.896544 PM,-80
37, 00:00:01.241961,29-Sep-17 3:54:38.138505 PM,-81
37, 00:00:02.463919,29-Sep-17 3:54:40.602424 PM,-80
38, 00:00:00.000697,29-Sep-17 3:54:40.603121 PM,-80
37, 00:00:02.527815,29-Sep-17 3:54:43.130936 PM,-82
38, 00:00:00.000697,29-Sep-17 3:54:43.131633 PM,-80
38, 00:00:01.207905,29-Sep-17 3:54:44.339538 PM,-79
39, 00:00:00.001199,29-Sep-17 3:54:44.340737 PM,-35.000 (strong)
39, 00:00:00.000325,29-Sep-17 3:54:44.341062 PM,-87
37, 00:00:01.246778,29-Sep-17 3:54:45.587839 PM,-81
38, 00:00:00.000697,29-Sep-17 3:54:45.588536 PM,-79
39, 00:00:00.001199,29-Sep-17 3:54:45.589735 PM,-35.000 (strong)
37, 00:00:01.243731,29-Sep-17 3:54:46.833466 PM,-82
38, 00:00:00.000697,29-Sep-17 3:54:46.834163 PM,-80
37, 00:00:01.246465,29-Sep-17 3:54:48.080628 PM,-81
37, 00:00:01.228237,29-Sep-17 3:54:49.308865 PM,-81
38, 00:00:00.000697,29-Sep-17 3:54:49.309562 PM,-80
38, 00:00:03.741900,29-Sep-17 3:54:53.051462 PM,-81
37, 00:00:01.232581,29-Sep-17 3:54:54.284042 PM,-81
38, 00:00:00.000697,29-Sep-17 3:54:54.284740 PM,-79
38, 00:00:03.731003,29-Sep-17 3:54:58.015742 PM,-80
37, 00:00:02.526212,29-Sep-17 3:55:00.541954 PM,-81
38, 00:00:00.000697,29-Sep-17 3:55:00.542652 PM,-80
39, 00:00:00.001199,29-Sep-17 3:55:00.543850 PM,-35.000 (strong)
37, 00:00:02.453222,29-Sep-17 3:55:02.997072 PM,-82
38, 00:00:00.000697,29-Sep-17 3:55:02.997770 PM,-80
37, 00:00:01.250656,29-Sep-17 3:55:04.248425 PM,-82
38, 00:00:00.000697,29-Sep-17 3:55:04.249122 PM,-79
37, 00:00:02.484579,29-Sep-17 3:55:06.733701 PM,-81
38, 00:00:00.000697,29-Sep-17 3:55:06.734398 PM,-80
37, 00:00:02.489354,29-Sep-17 3:55:09.223752 PM,-82
38, 00:00:00.000697,29-Sep-17 3:55:09.224450 PM,-80
37, 00:00:01.257394,29-Sep-17 3:55:10.481843 PM,-81
38, 00:00:00.000697,29-Sep-17 3:55:10.482540 PM,-81
38, 00:00:01.227061,29-Sep-17 3:55:11.709601 PM,-80
37, 00:00:02.489630,29-Sep-17 3:55:14.199231 PM,-81
38, 00:00:00.000697,29-Sep-17 3:55:14.199928 PM,-81
37, 00:00:01.238731,29-Sep-17 3:55:15.438658 PM,-81
37, 00:00:01.242773,29-Sep-17 3:55:16.681431 PM,-81
38, 00:00:00.000697,29-Sep-17 3:55:16.682128 PM,-80
37, 00:00:01.255029,29-Sep-17 3:55:17.937157 PM,-81
38, 00:00:01.242838,29-Sep-17 3:55:19.179994 PM,-79
37, 00:00:02.485990,29-Sep-17 3:55:21.665984 PM,-82
38, 00:00:00.000697,29-Sep-17 3:55:21.666682 PM,-80
37, 00:00:01.267798,29-Sep-17 3:55:22.934479 PM,-81
38, 00:00:00.000697,29-Sep-17 3:55:22.935176 PM,-81
37, 00:00:01.224433,29-Sep-17 3:55:24.159610 PM,-81
38, 00:00:00.000697,29-Sep-17 3:55:24.160307 PM,-80
37, 00:00:01.241229,29-Sep-17 3:55:25.401535 PM,-82
38, 00:00:00.000697,29-Sep-17 3:55:25.402232 PM,-80
38, 00:00:01.237004,29-Sep-17 3:55:26.639236 PM,-81
37, 00:00:04.983331,29-Sep-17 3:55:31.622567 PM,-81
38, 00:00:00.000697,29-Sep-17 3:55:31.623264 PM,-81
37, 00:00:01.239961,29-Sep-17 3:55:32.863226 PM,-81
38, 00:00:00.000697,29-Sep-17 3:55:32.863923 PM,-81
37, 00:00:01.247785,29-Sep-17 3:55:34.111707 PM,-82
37, 00:00:02.496048,29-Sep-17 3:55:36.607756 PM,-82
38, 00:00:00.000697,29-Sep-17 3:55:36.608453 PM,-80
38, 00:00:02.494531,29-Sep-17 3:55:39.102984 PM,-79
37, 00:00:03.737526,29-Sep-17 3:55:42.840510 PM,-81
38, 00:00:00.000697,29-Sep-17 3:55:42.841207 PM,-80
38, 00:00:01.248125,29-Sep-17 3:55:44.089331 PM,-79
38, 00:00:01.254844,29-Sep-17 3:55:45.344175 PM,-80
37, 00:00:01.230313,29-Sep-17 3:55:46.574488 PM,-82
38, 00:00:00.000698,29-Sep-17 3:55:46.575186 PM,-80
37, 00:00:01.275420,29-Sep-17 3:55:47.850606 PM,-81
38, 00:00:00.000697,29-Sep-17 3:55:47.851303 PM,-80
38, 00:00:01.257674,29-Sep-17 3:55:49.108977 PM,-79
37, 00:00:02.481372,29-Sep-17 3:55:51.590349 PM,-81
38, 00:00:00.000697,29-Sep-17 3:55:51.591046 PM,-80
39, 00:00:00.001199,29-Sep-17 3:55:51.592245 PM,-35.000 (strong)
37, 00:00:01.232676,29-Sep-17 3:55:52.824920 PM,-81
38, 00:00:00.000697,29-Sep-17 3:55:52.825618 PM,-80
39, 00:00:00.001199,29-Sep-17 3:55:52.826816 PM,-35.000 (strong)
37, 00:00:01.217051,29-Sep-17 3:55:54.043867 PM,-81
37, 00:00:01.245377,29-Sep-17 3:55:55.289244 PM,-82
38, 00:00:00.000697,29-Sep-17 3:55:55.289941 PM,-80
37, 00:00:03.736404,29-Sep-17 3:55:59.026344 PM,-81
38, 00:00:00.000698,29-Sep-17 3:55:59.027042 PM,-79
