Bookmark,Frame#,CP#,RF Chan,Chan,Event Status,Decryption Initiated,DS,PHY,Len,Frame Size,Delta,Timestamp,RSSI,
,180,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:42.725981 PM",-78.000 dBm (weak),
,181,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.348406",="02-Oct-17 5:32:43.074387 PM",-76.000 dBm (weak),
,182,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:43.075414 PM",-73.000 dBm (weak),
,183,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:43.076440 PM",-78.000 dBm (weak),
,184,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.355909",="02-Oct-17 5:32:43.432349 PM",-76.000 dBm (weak),
,185,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:43.433376 PM",-72.000 dBm (weak),
,186,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:43.434402 PM",-79.000 dBm (weak),
,187,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.357675",="02-Oct-17 5:32:43.792077 PM",-76.000 dBm (weak),
,188,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:43.793104 PM",-73.000 dBm (weak),
,189,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000518",="02-Oct-17 5:32:43.793622 PM",-47.000 dBm (medium),
,190,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.352531",="02-Oct-17 5:32:44.146153 PM",-75.000 dBm (weak),
,191,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:44.147181 PM",-73.000 dBm (weak),
,192,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:44.148207 PM",-78.000 dBm (weak),
,193,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.355082",="02-Oct-17 5:32:44.503288 PM",-71.000 dBm (weak),
,194,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:44.504314 PM",-79.000 dBm (weak),
,195,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.351728",="02-Oct-17 5:32:44.856042 PM",-79.000 dBm (weak),
,196,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.353064",="02-Oct-17 5:32:45.209106 PM",-76.000 dBm (weak),
,197,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:45.210133 PM",-73.000 dBm (weak),
,198,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:45.211159 PM",-79.000 dBm (weak),
,199,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.357400",="02-Oct-17 5:32:45.568559 PM",-75.000 dBm (weak),
,200,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:45.569587 PM",-72.000 dBm (weak),
,201,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:45.570613 PM",-79.000 dBm (weak),
,202,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.354063",="02-Oct-17 5:32:45.924676 PM",-72.000 dBm (weak),
,203,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:45.925701 PM",-78.000 dBm (weak),
,204,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.357176",="02-Oct-17 5:32:46.282878 PM",-75.000 dBm (weak),
,205,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.356176",="02-Oct-17 5:32:46.639053 PM",-76.000 dBm (weak),
,206,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:46.640081 PM",-73.000 dBm (weak),
,207,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:46.641107 PM",-78.000 dBm (weak),
,208,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.355901",="02-Oct-17 5:32:46.997008 PM",-75.000 dBm (weak),
,209,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:46.998035 PM",-73.000 dBm (weak),
,210,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:46.999061 PM",-79.000 dBm (weak),
,211,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.352742",="02-Oct-17 5:32:47.351802 PM",-76.000 dBm (weak),
,212,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.353825",="02-Oct-17 5:32:47.705627 PM",-75.000 dBm (weak),
,213,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:47.706655 PM",-73.000 dBm (weak),
,214,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:47.707681 PM",-78.000 dBm (weak),
,215,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.353262",="02-Oct-17 5:32:48.060942 PM",-77.000 dBm (weak),
,216,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:48.061970 PM",-73.000 dBm (weak),
,217,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:48.062996 PM",-79.000 dBm (weak),
,218,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.350274",="02-Oct-17 5:32:48.413269 PM",-71.000 dBm (weak),
,219,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:48.414295 PM",-78.000 dBm (weak),
,220,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.355834",="02-Oct-17 5:32:48.770129 PM",-76.000 dBm (weak),
,221,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:48.771157 PM",-73.000 dBm (weak),
,222,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:48.772183 PM",-79.000 dBm (weak),
,223,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.351242",="02-Oct-17 5:32:49.123425 PM",-75.000 dBm (weak),
,224,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:49.124453 PM",-72.000 dBm (weak),
,225,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:49.125478 PM",-78.000 dBm (weak),
,226,1,     0 ,  37 ,SUCCESS,No,,1M,38,72,=" 00:00:00.356365",="02-Oct-17 5:32:49.481843 PM",-76.000 dBm (weak),
,227,1,    12 ,  38 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001028",="02-Oct-17 5:32:49.482870 PM",-72.000 dBm (weak),
,228,1,    39 ,  39 ,SUCCESS,No,,1M,38,72,=" 00:00:00.001026",="02-Oct-17 5:32:49.483896 PM",-79.000 dBm (weak),
