Bookmark,Frame#,CP#,RF Chan,Chan,Event Status,Decryption Initiated,DS,PHY,Len,Frame Size,Delta,Timestamp,RSSI,
,7125,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:05:57.503616 PM",-62.000 dBm (weak),
,7126,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:02.493483",="03-Oct-17 4:05:59.997099 PM",-69.000 dBm (weak),
,7127,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:05:59.997796 PM",-63.000 dBm (weak),
,7128,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:05:59.998493 PM",-64.000 dBm (weak),
,7129,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.228984",="03-Oct-17 4:06:01.227477 PM",-69.000 dBm (weak),
,7130,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:06:01.228174 PM",-63.000 dBm (weak),
,7131,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000502",="03-Oct-17 4:06:01.228676 PM",-32.000 dBm (strong),
,7132,1,    12 ,  38 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="03-Oct-17 4:06:01.229002 PM",-63.000 dBm (weak),
,7133,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="03-Oct-17 4:06:01.229273 PM",-62.000 dBm (weak),
,7134,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.291636",="03-Oct-17 4:06:02.520909 PM",-69.000 dBm (weak),
,7135,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:06:02.521606 PM",-63.000 dBm (weak),
,7136,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:06:02.522303 PM",-62.000 dBm (weak),
,7137,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.211153",="03-Oct-17 4:06:03.733456 PM",-69.000 dBm (weak),
,7138,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:06:03.734153 PM",-63.000 dBm (weak),
,7139,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000502",="03-Oct-17 4:06:03.734655 PM",-32.000 dBm (strong),
,7140,1,    12 ,  38 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="03-Oct-17 4:06:03.734981 PM",-63.000 dBm (weak),
,7141,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="03-Oct-17 4:06:03.735252 PM",-62.000 dBm (weak),
,7142,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.241382",="03-Oct-17 4:06:04.976634 PM",-68.000 dBm (weak),
,7143,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:06:04.977331 PM",-63.000 dBm (weak),
,7144,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:06:04.978028 PM",-62.000 dBm (weak),
,7145,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.244134",="03-Oct-17 4:06:06.222162 PM",-69.000 dBm (weak),
,7146,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:06:06.222859 PM",-63.000 dBm (weak),
,7147,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:06:06.223556 PM",-62.000 dBm (weak),
,7148,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.255729",="03-Oct-17 4:06:07.479285 PM",-69.000 dBm (weak),
,7149,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:06:07.479982 PM",-63.000 dBm (weak),
,7150,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:06:07.480679 PM",-62.000 dBm (weak),
,7151,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.241924",="03-Oct-17 4:06:08.722604 PM",-69.000 dBm (weak),
,7152,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:06:08.723300 PM",-63.000 dBm (weak),
,7153,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="03-Oct-17 4:06:08.723998 PM",-62.000 dBm (weak),
,7154,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.228095",="03-Oct-17 4:06:09.952093 PM",-69.000 dBm (weak),
,7155,1,     0 ,  37 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000502",="03-Oct-17 4:06:09.952595 PM",-35.000 dBm (strong),
,7156,1,     0 ,  37 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="03-Oct-17 4:06:09.952921 PM",-69.000 dBm (weak),
