Bookmark,Frame#,CP#,RF Chan,Chan,Event Status,Decryption Initiated,DS,PHY,Len,Frame Size,Delta,Timestamp,RSSI,
,1,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,="",="29.9.2017 14:19:20.526205",-70000 dBm (weak),
,2,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29.9.2017 14:19:20.526902",-72000 dBm (weak),
,3,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29.9.2017 14:19:20.527599",-64000 dBm (weak),
,4,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:01.258557",="29.9.2017 14:19:21.786156",-72000 dBm (weak),
,5,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29.9.2017 14:19:21.786853",-64000 dBm (weak),
,6,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.220858",="29.9.2017 14:19:23.007711",-68000 dBm (weak),
,7,1,     0 ,  37 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000503",="29.9.2017 14:19:23.008214",-40000 dBm (medium),
,8,1,     0 ,  37 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="29.9.2017 14:19:23.008540",-68000 dBm (weak),
,9,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="29.9.2017 14:19:23.008811",-71000 dBm (weak),
,10,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29.9.2017 14:19:23.009508",-64000 dBm (weak),
,11,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.245784",="29.9.2017 14:19:24.255293",-68000 dBm (weak),
,12,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29.9.2017 14:19:24.255990",-71000 dBm (weak),
,13,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29.9.2017 14:19:24.256687",-64000 dBm (weak),
,14,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.257406",="29.9.2017 14:19:25.514093",-68000 dBm (weak),
,15,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29.9.2017 14:19:25.514790",-70000 dBm (weak),
,16,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29.9.2017 14:19:25.515487",-65000 dBm (weak),
,17,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.230289",="29.9.2017 14:19:26.745776",-70000 dBm (weak),
,18,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29.9.2017 14:19:26.746473",-71000 dBm (weak),
,19,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29.9.2017 14:19:26.747170",-64000 dBm (weak),
,20,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:01.250359",="29.9.2017 14:19:27.997529",-64000 dBm (weak),
,21,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.229208",="29.9.2017 14:19:29.226737",-71000 dBm (weak),
,22,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29.9.2017 14:19:29.227434",-69000 dBm (weak),
,23,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000502",="29.9.2017 14:19:29.227936",-44000 dBm (medium),
,24,1,    12 ,  38 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="29.9.2017 14:19:29.228262",-70000 dBm (weak),
,25,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="29.9.2017 14:19:29.228533",-64000 dBm (weak),
,26,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:02.527388",="29.9.2017 14:19:31.755921",-70000 dBm (weak),
,27,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29.9.2017 14:19:31.756617",-68000 dBm (weak),
,28,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000503",="29.9.2017 14:19:31.757120",-44000 dBm (medium),
,29,1,    12 ,  38 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="29.9.2017 14:19:31.757446",-68000 dBm (weak),
,30,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="29.9.2017 14:19:31.757718",-63000 dBm (weak),
,31,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.240325",="29.9.2017 14:19:32.998043",-69000 dBm (weak),
,32,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29.9.2017 14:19:32.998740",-68000 dBm (weak),
,33,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000503",="29.9.2017 14:19:32.999243",-40000 dBm (medium),
,34,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000194",="29.9.2017 14:19:32.999437",-64000 dBm (weak),
,35,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.212391",="29.9.2017 14:19:34.211828",-68000 dBm (weak),
,36,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29.9.2017 14:19:34.212525",-68000 dBm (weak),
,37,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29.9.2017 14:19:34.213222",-64000 dBm (weak),
,38,1,    39 ,  39 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000503",="29.9.2017 14:19:34.213725",-40000 dBm (medium),
,39,1,    39 ,  39 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="29.9.2017 14:19:34.214051",-64000 dBm (weak),
,40,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.267679",="29.9.2017 14:19:35.481730",-66000 dBm (weak),
,41,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29.9.2017 14:19:35.482427",-72000 dBm (weak),
,42,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29.9.2017 14:19:35.483124",-63000 dBm (weak),
,43,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:01.255352",="29.9.2017 14:19:36.738476",-73000 dBm (weak),
,44,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29.9.2017 14:19:36.739173",-63000 dBm (weak),
,45,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.208144",="29.9.2017 14:19:37.947317",-68000 dBm (weak),
,46,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29.9.2017 14:19:37.948014",-72000 dBm (weak),
,47,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29.9.2017 14:19:37.948711",-63000 dBm (weak),
,48,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.234338",="29.9.2017 14:19:39.183049",-68000 dBm (weak),
,49,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29.9.2017 14:19:39.183746",-69000 dBm (weak),
,50,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29.9.2017 14:19:39.184443",-62000 dBm (weak),
,51,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.247736",="29.9.2017 14:19:40.432180",-67000 dBm (weak),
,52,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29.9.2017 14:19:40.432877",-70000 dBm (weak),
,53,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="29.9.2017 14:19:40.433574",-62000 dBm (weak),
,54,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.248280",="29.9.2017 14:19:41.681854",-68000 dBm (weak),
,55,1,     0 ,  37 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000503",="29.9.2017 14:19:41.682356",-46000 dBm (medium),
,56,1,     0 ,  37 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="29.9.2017 14:19:41.682682",-68000 dBm (weak),
