Bookmark,Frame#,CP#,RF Chan,Chan,Event Status,Decryption Initiated,DS,PHY,Len,Frame Size,Delta,Timestamp,RSSI,+PDU Type (LE ADV),
,1698,1,     0 ,  37 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000503",="13-Nov-17 5:14:48.330783 PM",-44.000 dBm (medium),SCAN_REQ,
,1699,1,     0 ,  37 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="13-Nov-17 5:14:48.331109 PM",-37.000 dBm (medium),SCAN_RSP,
,1700,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="13-Nov-17 5:14:48.331380 PM",-35.000 dBm (strong),ADV_IND,
,1701,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="13-Nov-17 5:14:48.332077 PM",-43.000 dBm (medium),ADV_IND,
,1702,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.234783",="13-Nov-17 5:14:49.566860 PM",-37.000 dBm (medium),ADV_IND,
,1703,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="13-Nov-17 5:14:49.567557 PM",-35.000 dBm (strong),ADV_IND,
,1704,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000503",="13-Nov-17 5:14:49.568060 PM",-38.000 dBm (medium),SCAN_REQ,
,1705,1,    12 ,  38 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000326",="13-Nov-17 5:14:49.568385 PM",-35.000 dBm (strong),SCAN_RSP,
,1706,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="13-Nov-17 5:14:49.568656 PM",-42.000 dBm (medium),ADV_IND,
,1707,1,     0 ,  37 ,SUCCESS,No,,1M,36,70,=" 00:00:01.256334",="13-Nov-17 5:14:50.824989 PM",-37.000 dBm (medium),ADV_IND,
,1708,1,    12 ,  38 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000697",="13-Nov-17 5:14:50.825687 PM",-35.000 dBm (strong),ADV_IND,
,1709,1,    12 ,  38 ,SUCCESS,No,,1M,14,48,=" 00:00:00.000503",="13-Nov-17 5:14:50.826189 PM",-38.000 dBm (medium),SCAN_REQ,
,1710,1,    12 ,  38 ,SUCCESS,No,,1M,8,42,=" 00:00:00.000325",="13-Nov-17 5:14:50.826515 PM",-35.000 dBm (strong),SCAN_RSP,
,1711,1,    39 ,  39 ,SUCCESS,No,,1M,36,70,=" 00:00:00.000271",="13-Nov-17 5:14:50.826785 PM",-43.000 dBm (medium),ADV_IND,
