Chan,Timestamp,RSSI
39,13-Nov-17 5:08:02.373455 PM,-43
37,13-Nov-17 5:08:03.613688 PM,-37
37,13-Nov-17 5:08:03.614190 PM,-42
37,13-Nov-17 5:08:03.614516 PM,-37
38,13-Nov-17 5:08:03.614787 PM,-35
39,13-Nov-17 5:08:03.615484 PM,-43
37,13-Nov-17 5:08:04.871117 PM,-37
38,13-Nov-17 5:08:04.871814 PM,-35
39,13-Nov-17 5:08:04.872511 PM,-43
37,13-Nov-17 5:08:06.111723 PM,-37
38,13-Nov-17 5:08:06.112421 PM,-35
38,13-Nov-17 5:08:06.112923 PM,-38
38,13-Nov-17 5:08:06.113249 PM,-35
39,13-Nov-17 5:08:06.113519 PM,-43
37,13-Nov-17 5:08:07.360579 PM,-37
38,13-Nov-17 5:08:07.361276 PM,-35
39,13-Nov-17 5:08:07.361973 PM,-43
37,13-Nov-17 5:08:08.605031 PM,-37
38,13-Nov-17 5:08:08.605728 PM,-35
38,13-Nov-17 5:08:08.606231 PM,-38
38,13-Nov-17 5:08:08.606556 PM,-36
39,13-Nov-17 5:08:08.606827 PM,-43
37,13-Nov-17 5:08:09.845510 PM,-37
38,13-Nov-17 5:08:09.846207 PM,-35
38,13-Nov-17 5:08:09.846709 PM,-38
38,13-Nov-17 5:08:09.847035 PM,-36
39,13-Nov-17 5:08:09.847306 PM,-43
37,13-Nov-17 5:08:11.091488 PM,-37
38,13-Nov-17 5:08:11.092185 PM,-36
38,13-Nov-17 5:08:11.092687 PM,-38
38,13-Nov-17 5:08:11.093013 PM,-36
39,13-Nov-17 5:08:11.093284 PM,-43
37,13-Nov-17 5:08:12.334217 PM,-37
38,13-Nov-17 5:08:12.334914 PM,-35
38,13-Nov-17 5:08:12.335417 PM,-38
38,13-Nov-17 5:08:12.335743 PM,-35
39,13-Nov-17 5:08:12.336014 PM,-43
37,13-Nov-17 5:08:13.592296 PM,-37
38,13-Nov-17 5:08:13.592993 PM,-35
39,13-Nov-17 5:08:13.593690 PM,-43
37,13-Nov-17 5:08:14.823724 PM,-37
38,13-Nov-17 5:08:14.824421 PM,-35
39,13-Nov-17 5:08:14.825118 PM,-43
39,13-Nov-17 5:08:14.825621 PM,-40
39,13-Nov-17 5:08:14.825946 PM,-42
37,13-Nov-17 5:08:16.066503 PM,-37
37,13-Nov-17 5:08:16.067006 PM,-44
37,13-Nov-17 5:08:16.067331 PM,-37
38,13-Nov-17 5:08:16.067602 PM,-35
39,13-Nov-17 5:08:16.068299 PM,-43
37,13-Nov-17 5:08:17.306431 PM,-37
37,13-Nov-17 5:08:17.306934 PM,-45
37,13-Nov-17 5:08:17.307259 PM,-37
38,13-Nov-17 5:08:17.307531 PM,-35
39,13-Nov-17 5:08:17.308227 PM,-43
37,13-Nov-17 5:08:18.561310 PM,-37
37,13-Nov-17 5:08:18.561813 PM,-45
37,13-Nov-17 5:08:18.562138 PM,-37
38,13-Nov-17 5:08:18.562409 PM,-35
39,13-Nov-17 5:08:18.563106 PM,-43
37,13-Nov-17 5:08:19.793689 PM,-37
38,13-Nov-17 5:08:19.794386 PM,-35
38,13-Nov-17 5:08:19.794888 PM,-38
38,13-Nov-17 5:08:19.795214 PM,-35
39,13-Nov-17 5:08:19.795485 PM,-43
37,13-Nov-17 5:08:21.040717 PM,-37
38,13-Nov-17 5:08:21.041415 PM,-35
38,13-Nov-17 5:08:21.041917 PM,-38
38,13-Nov-17 5:08:21.042243 PM,-35
39,13-Nov-17 5:08:21.042513 PM,-43
37,13-Nov-17 5:08:22.291946 PM,-37
38,13-Nov-17 5:08:22.292643 PM,-35
38,13-Nov-17 5:08:22.293145 PM,-38
38,13-Nov-17 5:08:22.293471 PM,-35
39,13-Nov-17 5:08:22.293742 PM,-42
